Unnamed..0,compound,data,start,stop,area,area_linkpoint,RNAi,Gene,Vial,Total,ratio,ng_uL,ng
905,isopropyl dodecanoate,RNAi3_12132022_89.mzXML,7.836140351,7.926008772,529453,520796.345,RNAi,3,89,RNAi 3,0.007177049,0.035885244,2.51196708
1003,C18,RNAi3_12132022_89.mzXML,8.570065789,8.64994883,73770294,73745099.25,RNAi,3,89,RNAi 3,1,5,350
29,pBQ,RNAi3_12132022_73.mzXML,4.045,4.085,3696475,3666815.755,RNAi,3,73,RNAi 3,0.235601655,1.178008277,82.4605794
127,meBQ,RNAi3_12132022_73.mzXML,4.685,4.75,65597310,65578925.56,RNAi,3,73,RNAi 3,4.180965603,20.90482802,1463.337961
225,C11:1,RNAi3_12132022_73.mzXML,5.12,5.16,2450041,2435539.645,RNAi,3,73,RNAi 3,0.038310976,0.191554882,13.40884175
323,C11,RNAi3_12132022_73.mzXML,5.165,5.26,607949668,607894000.1,RNAi,3,73,RNAi 3,9.506430875,47.53215437,3327.250806
421,dimeBQ,RNAi3_12132022_73.mzXML,5.295,5.37,15689512,15646251.87,RNAi,3,73,RNAi 3,1,5,350
519,memeOBQ,RNAi3_12132022_73.mzXML,5.705,5.795,30380605,30349340.64,RNAi,3,73,RNAi 3,1.936363923,9.681819613,677.7273729
617,ethyl decanoate,RNAi3_12132022_73.mzXML,6.78,6.86,183179087,183116913.7,RNAi,3,73,RNAi 3,2.864347856,14.32173928,1002.52175
715,isopropyl decanoate,RNAi3_12132022_73.mzXML,6.935,7.015,2336121,2300272.635,RNAi,3,73,RNAi 3,0.036529624,0.18264812,12.78536841
813,ethyl dodecanoate,RNAi3_12132022_73.mzXML,7.71,7.815,14535424,14520362.46,RNAi,3,73,RNAi 3,0.227288558,1.136442791,79.55099536
911,isopropyl dodecanoate,RNAi3_12132022_73.mzXML,7.84,7.93,687806,676818.52,RNAi,3,73,RNAi 3,0.010755134,0.05377567,3.764296928
1009,C18,RNAi3_12132022_73.mzXML,8.575,8.655,63951411,63918945,RNAi,3,73,RNAi 3,1,5,350
36,pBQ,RNAi3_12132022_71.mzXML,4.045,4.085,4357674,4320390.81,RNAi,3,71,RNAi 3,0.286990891,1.434954457,100.446812
134,meBQ,RNAi3_12132022_71.mzXML,4.685,4.75,40226291,40208456.34,RNAi,3,71,RNAi 3,2.649252586,13.24626293,927.238405
232,C11:1,RNAi3_12132022_71.mzXML,5.12,5.16,2113986,2100780,RNAi,3,71,RNAi 3,0.03240725,0.162036252,11.34253765
330,C11,RNAi3_12132022_71.mzXML,5.165,5.26,557331447,557260947.3,RNAi,3,71,RNAi 3,8.543850228,42.71925114,2990.34758
428,dimeBQ,RNAi3_12132022_71.mzXML,5.295,5.37,15184015,15155969.61,RNAi,3,71,RNAi 3,1,5,350
526,memeOBQ,RNAi3_12132022_71.mzXML,5.705,5.795,21860351,21835331.08,RNAi,3,71,RNAi 3,1.439695035,7.198475173,503.8932621
624,ethyl decanoate,RNAi3_12132022_71.mzXML,6.78,6.86,163128915,163047745.3,RNAi,3,71,RNAi 3,2.500754309,12.50377155,875.2640082
